,TimeStamp,Temperature,Gas,Humidity,Pressure,Altitude
0,2021-01-12 19:00:00,69.21,355355.55,40.13,984.8,240.38
1,2021-01-12 20:00:00,67.62,541956.52,40.84,984.77,239.9
2,2021-01-12 21:00:00,67.18,579178.53,40.63,984.75,239.96
3,2021-01-12 22:00:00,66.6,577062.79,40.57,984.82,239.43
4,2021-01-12 23:00:00,66.22,578171.79,39.79,984.44,242.66
5,2021-01-13 00:00:00,66.1,576138.39,39.15,983.87,247.57
6,2021-01-13 01:00:00,65.86,575154.87,38.8,983.74,248.54
7,2021-01-13 02:00:00,65.65,575857.89,38.46,983.44,251.17
8,2021-01-13 03:00:00,65.46,576823.97,38.11,983.09,254.13
9,2021-01-13 04:00:00,65.31,578492.95,37.81,982.72,257.24
10,2021-01-13 05:00:00,65.18,580602.18,37.4,982.87,256.01
11,2021-01-13 06:00:00,65.6,559206.97,36.81,983.17,253.53
12,2021-01-13 07:00:00,68.1,534849.76,34.55,983.35,251.98
13,2021-01-13 08:00:00,68.58,554392.4,33.88,983.66,249.26
14,2021-01-13 09:00:00,69.35,552198.49,33.5,983.38,251.75
15,2021-01-13 10:00:00,70.04,544652.62,33.55,982.88,256.02
16,2021-01-13 11:00:00,68.65,547251.89,35.09,981.95,263.89
17,2021-01-13 12:00:00,68.34,543614.04,35.82,980.86,273.28
18,2021-01-13 13:00:00,68.3,539547.8,36.22,979.96,280.88
19,2021-01-13 14:00:00,68.83,524735.11,36.81,979.08,288.49
20,2021-01-13 15:00:00,69.89,502912.83,37.31,978.79,290.92
21,2021-01-13 16:00:00,69.79,520731.43,36.65,979.54,284.48
22,2021-01-13 17:00:00,70.35,515479.34,36.14,979.25,287.01
23,2021-01-13 18:00:00,72.74,497533.06,34.74,978.75,291.24
24,2021-01-13 19:00:00,73.16,513290.91,33.49,978.49,293.57
25,2021-01-13 20:00:00,72.3,530119.56,33.08,977.82,299.21
26,2021-01-13 21:00:00,71.79,544992.6,32.2,977.81,299.3
27,2021-01-13 22:00:00,71.57,553136.44,31.78,977.76,299.67
28,2021-01-13 23:00:00,71.54,557280.28,31.5,977.78,299.63
29,2021-01-14 00:00:00,71.28,564076.74,31.36,977.33,303.51
30,2021-01-14 01:00:00,71.08,564785.29,31.29,977.04,305.93
31,2021-01-14 02:00:00,70.95,568789.43,31.12,976.94,306.78
32,2021-01-14 03:00:00,70.8,571493.3,31.05,976.8,308.01
33,2021-01-14 04:00:00,70.57,577079.58,30.99,976.69,308.92
34,2021-01-14 05:00:00,70.36,579104.92,30.85,976.8,308.02
35,2021-01-14 06:00:00,72.36,565842.34,29.61,977.22,304.42
36,2021-01-14 07:00:00,71.6,573080.2,30.25,977.38,302.95
37,2021-01-14 08:00:00,71.03,561573.24,30.94,977.49,302.16
38,2021-01-14 09:00:00,71.8,514167.16,30.93,977.7,300.27
39,2021-01-14 10:00:00,72.54,494246.53,30.78,977.9,298.59
40,2021-01-14 11:00:00,71.99,488209.23,31.96,977.51,301.9
41,2021-01-14 12:00:00,70.92,492217.37,33.42,976.34,311.94
42,2021-01-14 13:00:00,70.59,486895.68,34.33,975.16,322.08
43,2021-01-14 14:00:00,70.58,475690.89,35.13,973.88,333.08
44,2021-01-14 15:00:00,70.82,463685.76,35.57,973.11,339.66
45,2021-01-14 16:00:00,71.04,450175.74,36.09,972.67,343.45
46,2021-01-14 17:00:00,71.04,446664.07,36.32,972.62,343.88
47,2021-01-14 18:00:00,70.72,444178.45,36.48,972.93,341.29
48,2021-01-14 19:00:00,70.64,450352.02,35.88,972.74,342.89
49,2021-01-14 20:00:00,70.31,452729.04,35.89,972.97,340.91
50,2021-01-14 21:00:00,70.14,458571.66,35.6,973.06,340.11
51,2021-01-14 22:00:00,70.78,484313.77,34.11,973.53,336.09
52,2021-01-14 23:00:00,69.31,513329.29,34.28,973.26,338.34
